sn,german,english
1,das Parkhaus,
2,er einer,
3,Verkehr in der Stadt der Parkplatz,
4,*e der K,
5,das E-Bike der TÜV,
6,telef,
7,abstellen versichert,
8,erreic,
9,die Fahrt die Versicherung,
10,löser,
11,regis,
12,flexibel,
13,im Zug die P,
14,die Linie die Zugfahrt,
15,der Radfahrer,
16,das Bordbistro von U,
17,der Radweg,
18,das Kinderabteil die Ex,
19,die Seilbahn,
20,die Monatskarte das Pr,
21,Verkehrsprobleme die Platzreservierung etwa (,
22,das Chaos pendeln die Ur,
23,der Stau . brauchen (Wie lange zeiger,
24,die Luft brauchst du zur Arbeit?),
25,zeigen,
26,in Zukunft weiterfahren,
27,er fährt,
28,weiter,
29,ist weitergefahren die Me reduzieren,
30,Mensch,
31,wann geht es die Me umweltfreundlich,
32,weiter? der Me,
33,die Großstadt,
34,e Du has,
35,die Innenstadt,
36,e rund ums Flugzeug gegen,
37,die Kombination Autos il,
38,abfliegen,
39,er fliegt ab,
40,die Konsequenz ist abgeflogen dafür st,
41,das Konzept der Abflug,
42,e dagege,
43,buchen Es geht rund ums Auto,
44,das Fahrzeug landen andere,
45,das Kfz / das der Artik,
46,Kraftfahrzeug,
47,e einen Weg beschreiben der Zeiti,
48,der Pkw die Beschreibung d. h. (da,
49,das Kennzeichen,
50,- an ... vorbei der Kind,
51,der Motor gegenüber von,
52,der Reifen,
53,- dorthin Wichtig,
54,die Panne die Richtung,
55,bremsen,
56,vorwärts,
57,die Garage,
58,das Navi rückwärts,
59,das Benzin Geh immer geradeaus. Welche Vi,
60,der Diesel vorbeilgehen,
61,er geht,
62,tanken vorbei,
63,ist vorbeigegangen Ergänzen,
64,die Tankstelle die Kreuzung,
65,halten,
66,er hält,
67,hat gehalten,
68,Lernwortschatz,
69,einen Service nutzen,
70,die Mama,
71,der Kundenservice die Stadtbesichtigung,
72,telefonisch,
73,der Konzertsaal,
74,erreichen klatschen,
75,lösen,
76,das Gewitter,
77,registrieren,
78,die Kaution,
79,die PIN,
80,- S ob (Ich möchte gern wissen,
81,ob der Zug pünktlich ist.),
82,von Untersuchungen berichten Ganz schön schnell,
83,die Expertin schon mal,
84,das Prozent die SMS,
85,etwa der Tarif,
86,die Untersuchung die Werbung,
87,zeigen (Untersuchungen sogar,
88,zeigen,
89,allgemein,
90,die Meinung sagen ewig,
91,die Meinung (Ich bin,
92,der Meinung,
93,Du hast recht. nötig sinnvoll,
94,gegen (Ich bin gegen,
95,Autos im Stadtzentrum.) ungeduldig,
96,dafür sein unpraktisch,
97,unterschiedlich,
98,dagegen sein setzen,
99,Es geht auch anders. überlegen,
100,versprechen,
101,er verspricht,
102,andere wichtige Wörter und Wendungen hat versprochen,
103,der Artikel,
104,- (ein Artikel in vorhaben,
105,er hat vor,
106,der Zeitung) hat vorgehabt,
107,d. h. zusammenfassen,
108,der Kinderwagen,
109,Wichtig für mich,
110,Welche Verkehrsmittel gibt es in Ihrer Stadt? Notieren Sie,
111,die Energie,
112,Lernen lassen (Lass offene Zeiten,
113,die Gitarre in deinem Zeitplan!),
114,das Klavier unternehmen,
115,er unter-,
116,das Instrument (ein nimmt,
117,hat unternommen,
118,Instrument spielen) verschieben,
119,er verschiebt,
120,das Interesse hat verschoben,
121,klug,
122,intelligent Berufsalltag,
123,die Bücherei der Arbeitgeber,
124,der Kursleiter,
125,- anstellen,
126,der/die Lehrende die Vollzeit (Ich bin in,
127,der/die Lernende Vollzeit angestellt.),
128,die Sprechstunde freiberuflich,
129,das Sekretariat stundenweise,
130,erfahren der Auftrag,
131,neugierig der PC,
132,kompliziert die Autorin,
133,hart der Babysitter,
134,kapieren ausländisch (ausländische,
135,Partner),
136,Prüfungen die Konferenz,
137,die Prüferin,
138,mündlich der Workshop,
139,schriftlich zusammenarbeiten,
140,die Schrift pensioniert,
141,die Einführung die Rente,
142,der Stoff die Seniorin,
143,die Disziplin dolmetschen,
144,das Stipendium,
145,der Dolmetscher,
146,Stipendien übersetzen,
147,Ratschläge geben die Übersetzung,
148,der Ratschlag,
149,e begleiten (Ich begleite,
150,die Beratung gehörlose Menschen.) gehörlos,
151,die Förderung,
152,bieten,
153,er bietet,
154,hat neutral bleiben,
155,geboten kommunizieren,
156,das Feedback die Kommunikation,
157,der Trick,
158,der Zeitplan,
159,e anderen helfen,
160,realistisch die Aktion,
161,starten,
162,sorgen,
163,der Service die Mitteilung,
164,existieren,
165,reparieren,
166,die Reparatur zurecht kommen,
167,er kommt zurecht,
168,das Werkzeug zurechtgekommen,
169,wegwerfen,
170,er wirft weg,
171,beschweren,
172,hat weggeworfen dabei haben,
173,gebraucht (Ich kaufe oft putzen,
174,gebrauchte Sachen.) spülen,
175,voneinander (Wir haben,
176,viel voneinander gelernt.) tief,
177,fett,
178,eine Präsentation halten einzeln,
179,eine Präsentation halten erforderlich,
180,vortragen,
181,er trägt vor,
182,die Hälfte,
183,er hat vorgetragen die Menge,
184,beachten (Was soll man die Qualität,
185,en,
186,beachten?) der Katalog,
187,die Einleitung der Prospekt,
188,die Gliederung das Herz,
189,der Hauptteil die Figur,
190,der Inhalt das Mineralwasser,
191,der Punkt die Zitrone,
192,der Schluss,
193,e die Portion,
194,flüssig tagsüber,
195,die Zuhörerin die Mitternacht,
196,andere wichtige Wörter und Wendungen der Wald,
197,der/die Angehörige,
198,- notwendig,
199,das Standesamt prima,
200,das Forum,
201,Foren sowieso,
202,abonnieren übrigens,
203,die Mailbox,
204,Wichtig für mich,
205,Ergänzen Sie passende Verben,
206,Sport machen der Schläger,
207,die Sportart der Skistock,
208,sich bewegen das Paddel,
209,das Kajak das Surfbrett,
210,das Kitesurfen die Taucherbrille,
211,surfen,
212,tauchen Vereine und Fans,
213,langlaufen,
214,er läuft lang,
215,der Sportverein (Ich bin,
216,ist langgelaufen im Sportverein.),
217,Volleyball spielen die Mannschaft,
218,das Tor der Fußballstar,
219,schießen,
220,er schießt,
221,der Fanartikel,
222,- (Mein Sohn,
223,hat geschossen (ein Tor kauft viele Fanartikel von,
224,schießen) seinem Lieblingsverein.),
225,werfen,
