sn,german,english,example_de,info
1,das Parkhaus,parking garage,Ich stelle das Auto im Parkhaus ab.,Nomen (n); Plural: Parkhäuser.
2,die Stadt,city,Die Stadt ist sehr groß.,Nomen (f); Plural: Städte. (Artikel korrigiert)
3,der Parkplatz,parking space / parking lot,Der Parkplatz ist voll.,Nomen (m); Plural: Parkplätze.
4,das E-Bike,e-bike,Ich fahre mit dem E-Bike zur Arbeit.,Nomen (n); Plural: E-Bikes.
5,der TÜV,vehicle inspection (TÜV),Mein Auto muss zum TÜV.,Abkürzung; meist Singular.
6,abstellen,to park / to put down,Ich stelle das Fahrrad hier ab.,"Verb (trennbar): abstellen, stellt ab."
7,versichert,insured,Mein Auto ist versichert.,Adjektiv/Partizip; oft mit 'sein'.
8,die Fahrt,trip / ride,Die Fahrt dauert 30 Minuten.,Nomen (f); Plural: Fahrten.
9,die Versicherung,insurance,Ich habe eine Versicherung.,Nomen (f); Plural: Versicherungen.
10,flexibel,flexible,Ich bin flexibel.,Adjektiv.
11,die Linie,line / route,Ich nehme die Linie 5.,Nomen (f); Plural: Linien.
12,die Zugfahrt,train journey,Die Zugfahrt ist ruhig.,Nomen (f); Plural: Zugfahrten.
13,der Radfahrer,cyclist,Der Radfahrer trägt einen Helm.,Nomen (m); Plural: Radfahrer.
14,das Bordbistro,on-board bistro,Im Bordbistro kaufe ich Wasser.,Nomen (n); Plural: Bordbistros.
15,der Radweg,cycle path,Der Radweg ist breit.,Nomen (m); Plural: Radwege.
16,das Kinderabteil,children’s compartment (train),Wir sitzen im Kinderabteil.,Nomen (n); Plural: Kinderabteile.
17,die Ex,ex (former partner),Meine Ex wohnt in München.,Umgangssprachlich; kurz für Ex-Partner(in).
18,die Seilbahn,cable car,Wir fahren mit der Seilbahn.,Nomen (f); Plural: Seilbahnen.
19,die Monatskarte,monthly pass,Ich kaufe eine Monatskarte.,Nomen (f); Plural: Monatskarten.
20,die Platzreservierung,seat reservation,Ich mache eine Platzreservierung.,Nomen (f); Plural: Platzreservierungen.
21,das Chaos,chaos,Heute ist Chaos auf der Straße.,Nomen (n); meist Singular.
22,die Uhr,clock / watch,Meine Uhr ist kaputt.,Nomen (f); Plural: Uhren. (OCR korrigiert)
23,der Stau,traffic jam,Auf der Autobahn ist ein Stau.,Nomen (m); Plural: Staus.
24,die Luft,air,Die Luft ist frisch.,Nomen (f); meist Singular.
25,zeigen,to show,Ich zeige dir den Weg.,"Verb: zeigen, zeigt."
26,weiter,further / continue,Geh bitte weiter.,Adverb; auch in 'weiterfahren'.
27,die Großstadt,big city,Hamburg ist eine Großstadt.,Nomen (f); Plural: Großstädte.
28,die Innenstadt,city center / downtown,Wir treffen uns in der Innenstadt.,Nomen (f); Plural: Innenstädte.
29,die Kombination,combination,Die Kombination ist gut.,Nomen (f); Plural: Kombinationen.
30,abfliegen,to take off / depart (plane),Wir fliegen um 9 Uhr ab.,"Verb (trennbar): abfliegen, fliegt ab."
31,die Konsequenz,consequence,Das ist die Konsequenz.,Nomen (f); Plural: Konsequenzen.
32,das Konzept,concept / plan,Das Konzept ist einfach.,Nomen (n); Plural: Konzepte.
33,der Abflug,departure (flight),Der Abflug ist um 8 Uhr.,Nomen (m); Plural: Abflüge.
34,das Fahrzeug,vehicle,Das Fahrzeug steht draußen.,Nomen (n); Plural: Fahrzeuge.
35,das Kfz,motor vehicle (abbr. Kraftfahrzeug),Das Kfz ist hier geparkt.,Abkürzung; neutral; oft als 'Kfz/KFZ' geschrieben.
36,einen Weg,a way / a path,Wir finden einen Weg.,Akkusativ von 'der Weg'.
37,der Pkw,passenger car (abbr. Pkw),Der Pkw ist alt.,Abkürzung für Personenkraftwagen (m).
38,die Beschreibung,description,Die Beschreibung ist kurz.,Nomen (f); Plural: Beschreibungen.
39,das Kennzeichen,license plate,Das Kennzeichen ist neu.,Nomen (n); Plural: Kennzeichen.
40,das Kind,child,Das Kind schläft.,Nomen (n); Plural: Kinder. (Artikel korrigiert)
41,der Motor,engine,Der Motor ist aus.,Nomen (m); Plural: Motoren.
42,der Reifen,tire,Der Reifen ist platt.,Nomen (m); Plural: Reifen.
43,die Panne,breakdown (car),Ich habe eine Panne.,Nomen (f); Plural: Pannen.
44,die Richtung,direction,Welche Richtung ist richtig?,Nomen (f); Plural: Richtungen.
