sn,german,english
1,das Parkhaus,
2,der Stadt,
3,der Parkplatz,
4,das E-Bike,
5,der TÜV,
6,telef,
7,abstellen versichert,
8,erreic,
9,die Fahrt,
10,die Versicherung,
11,löser,
12,regis,
13,flexibel,
14,die Linie,
15,die Zugfahrt,
16,der Radfahrer,
17,das Bordbistro,
18,der Radweg,
19,das Kinderabteil,
20,die Ex,
21,die Seilbahn,
22,die Monatskarte,
23,das Pr,
24,die Platzreservierung,
25,das Chaos,
26,die Ur,
27,der Stau,
28,die Luft,
29,zeigen,
30,weiter,
31,die Me,
32,der Me,
33,die Großstadt,
34,die Innenstadt,
35,die Kombination,
36,abfliegen,
37,die Konsequenz,
38,das Konzept,
39,der Abflug,
40,das Fahrzeug,
41,das Kfz,
42,das der Artik,
43,einen Weg,
44,der Zeiti,
45,der Pkw,
46,die Beschreibung,
47,das Kennzeichen,
48,der Kind,
49,der Motor,
50,der Reifen,
51,die Panne,
52,die Richtung,
53,bremsen,
54,vorwärts,
55,die Garage,
56,das Navi,
57,das Benzin,
58,der Diesel,
59,tanken vorbei,
60,die Tankstelle,
61,die Kreuzung,
62,den Bu,
63,die Ampel,
64,halten,
65,einen Service,
66,die Mama,
67,der Kundenservice,
68,die Stadtbesichtigung,
69,telefonisch,
70,der Konzertsaal,
71,erreichen klatschen,
72,lösen,
73,das Gewitter,
74,registrieren,
75,die Kaution,
76,die PIN,
77,der Zug,
78,die Expertin,
79,das Prozent,
80,die SMS,
81,der Tarif,
82,die Untersuchung,
83,die Werbung,
84,allgemein,
85,die Meinung,
86,der Meinung,
87,dafür sein unpraktisch,
88,unterschiedlich,
89,dagegen sein setzen,
90,versprechen,
91,der Artikel,
92,ein Artikel,
93,der Zeitung,
94,der Kinderwagen,
95,einen Parkplatz,
96,ein passendes Verb,
97,eine App,
98,den Bus,
99,dem Zug,
100,die Energie,
101,die Gitarre,
102,das Klavier,
103,das Instrument,
104,das Interesse,
105,klug,
106,die Bücherei,
107,der Arbeitgeber,
108,der Kursleiter,
109,-anstellen,
110,der,
111,die Lehrende,
112,die Vollzeit,
113,die Lernende,
114,die Sprechstunde,
115,das Sekretariat,
116,der Auftrag,
117,der PC,
118,die Autorin,
119,der Babysitter,
120,die Konferenz,
121,die Prüferin,
122,der Workshop,
123,schriftlich zusammenarbeiten,
124,die Schrift,
125,die Einführung,
126,die Rente,
127,der Stoff,
128,die Seniorin,
129,die Disziplin,
130,das Stipendium,
131,der Dolmetscher,
132,die Übersetzung,
133,der Ratschlag,
134,die Beratung,
135,die Förderung,
136,bieten,
137,geboten kommunizieren,
138,das Feedback,
139,die Kommunikation,
140,der Trick,
141,der Zeitplan,
142,die Aktion,
143,starten,
144,die Freiwillige,
145,sorgen,
146,der Service,
147,die Mitteilung,
148,existieren,
149,reparieren,
150,die Reparatur,
151,das Werkzeug,
152,wegwerfen,
153,beschweren,
154,fett,
155,eine Präsentation,
156,vortragen,
157,die Hälfte,
158,die Menge,
159,die Qualität,
160,der Katalog,
161,die Einleitung,
162,der Prospekt,
163,die Gliederung,
164,das Herz,
165,der Hauptteil,
166,die Figur,
167,der Inhalt,
168,das Mineralwasser,
169,der Punkt,
170,die Zitrone,
171,der Schluss,
172,die Portion,
173,flüssig tagsüber,
174,die Zuhörerin,
175,die Mitternacht,
176,der Wald,
177,die Angehörige,
178,-notwendig,
179,das Standesamt,
180,das Forum,
181,abonnieren übrigens,
182,die Mailbox,
183,einen Zeitplan,
184,den Stoff,
185,einen Ratschlag,
186,der Schläger,
187,die Sportart,
188,der Skistock,
189,das Paddel,
190,das Kajak,
191,das Surfbrett,
192,das Kitesurfen,
193,die Taucherbrille,
194,surfen,
195,langlaufen,
196,der Sportverein,
197,die Mannschaft,
198,das Tor,
199,der Fußballstar,
200,schießen,
201,der Fanartikel,
202,ein Tor,
203,werfen,
204,den Ball,
205,das Rad,
206,die Radtour,
207,das Vorbild,
208,reiten,
209,der Kletterer,
210,-genial,
211,die Kletterin,
212,die Wanderung,
213,der Wahnsinn,
214,die Strecke,
215,die Kondition,
216,Das war wahnsinnig gut,
217,die Hoffnung,
218,die Gesundheit,
219,der Erfolg,
220,die Enttäuschung,
221,der Wettbewerb,
222,der Fußballschuh,
223,die Katastrophe,
224,der Klettergurt,
225,der Helm,
226,die Matte,
227,sollen,
228,das Mountainbike,
229,einverstanden sein,
230,die Anreise,
231,der Einwohner,
232,-außer,
233,die Einwohnerin,
234,das Gasthaus,
235,die Kette,
236,das Material,
237,das Gebiet,
238,die Umgebung,
239,der Nationalpark,
240,das Tal,
241,der Staat,
242,die Höhle,
243,der Kanton,
244,der Führer,
245,der Cousin,
246,einem Führer,
247,die die Cousine,
248,die Sendung,
249,die Führerin,
250,eine Antwort,
251,die Temperatur,
252,der Hinweis,
253,der Nebel,
254,-neulich,
255,einen Helm,
256,den Bergen,
257,ein Spiel,
258,der Blumentopf,
259,der Briefkasten,
260,das Zuhause,
261,das Päckchen,
262,der Bauernhof,
263,die Ferienwohnung,
264,der Lärm,
265,der Bauer,
266,den Lärm,
267,bitte,
268,der Stadtrand,
269,das,
270,das Hausboot,
271,ein Fest,
272,das Ufer,
273,das Sommerfest,
274,dem Wasser,
275,die Torte,
276,nass,
277,der Wein,
278,das Poster,
279,der Lampion,
280,die Kerze,
281,der Luxus,
282,das Spielzeug,
283,das Gartenhaus,
284,der Roller,
285,dem Roller,
286,der Altbau,
287,das Stockwerk,
288,das Kissen,
289,der Keller,
290,das Dach,
291,der Boden,
292,den Baum,
293,die Länge,
294,die Breite,
295,die Höhe,
296,die Fläche,
297,der Quadratmeter,
298,die Mieterin,
299,der Mitbewohner,
300,möbliert,
301,die Nebenkosten,
302,der Wohnung,
303,gießen,
304,gossen gespannt,
305,auskennen,
306,aus,
307,kündigen,
308,herlgeben,
309,das Haustier,
310,die Katze,
311,zurücklaufen,
312,das Kätzchen,
313,der Vogel,
314,die Zulassung,
315,die Ratte,
316,die Maus,
317,der Hase,
318,die Kuh,
319,das Schaf,
320,das Schwein,
321,der Bär,
322,die Besitzerin,
323,das Futter,
324,füttern zumindest,
325,dick,
326,die Vergangenheit,
327,der Stil,
328,der Tierarzt,
329,die Veränderung,
330,einem Bild,
331,einen kurzen Text,
332,vergehen,
333,Die Zeit vergeht schnell. interessieren,
334,die Ehe,
335,die Hausfrau,
336,der Hausmann,
337,backen,
338,einen Kuchen,
339,das Zimmer,
340,der Hand,
341,verreisen,
342,den letzten Ausflug,
343,entlassen,
344,das Feuer,
345,behalten,
346,das Gas,
347,die Heizung,
348,heizen,
349,der Werktag,
350,der Export,
351,der Strom,
