sn,german,english,flag
1,das Parkhaus,,green
2,der Stadt,,green
3,der Parkplatz,,green
4,das E-Bike,,green
5,der TÜV,,green
6,telef,,red
7,abstellen versichert,,green
8,erreic,,red
9,die Fahrt,,green
10,die Versicherung,,green
11,löser,,red
12,regis,,red
13,flexibel,,green
14,die Linie,,green
15,die Zugfahrt,,green
16,der Radfahrer,,green
17,das Bordbistro,,green
18,der Radweg,,green
19,das Kinderabteil,,green
20,die Ex,,green
21,die Seilbahn,,green
22,die Monatskarte,,green
23,das Pr,,green
24,die Platzreservierung,,green
25,das Chaos,,green
26,die Ur,,green
27,der Stau,,green
28,die Luft,,green
29,zeigen,,green
30,weiter,,green
31,die Me,,green
32,der Me,,green
33,die Großstadt,,green
34,die Innenstadt,,green
35,die Kombination,,green
36,abfliegen,,green
37,die Konsequenz,,green
38,das Konzept,,green
39,der Abflug,,green
40,das Fahrzeug,,green
41,das Kfz,,green
42,das der Artik,,yellow
43,einen Weg,,green
44,der Zeiti,,red
45,der Pkw,,green
46,die Beschreibung,,green
47,das Kennzeichen,,green
48,der Kind,,green
49,der Motor,,green
50,der Reifen,,green
51,die Panne,,green
52,die Richtung,,green
53,bremsen,,green
54,vorwärts,,green
55,die Garage,,green
56,das Navi,,green
57,das Benzin,,green
58,der Diesel,,green
59,tanken vorbei,,green
60,die Tankstelle,,green
61,die Kreuzung,,green
62,den Bu,,green
63,die Ampel,,green
64,halten,,green
65,einen Service,,green
66,die Mama,,green
67,der Kundenservice,,green
68,die Stadtbesichtigung,,green
69,telefonisch,,green
70,der Konzertsaal,,green
71,erreichen klatschen,,green
72,lösen,,green
73,das Gewitter,,green
74,registrieren,,green
75,die Kaution,,green
76,die PIN,,green
77,der Zug,,green
78,die Expertin,,green
79,das Prozent,,green
80,die SMS,,green
81,der Tarif,,green
82,die Untersuchung,,green
83,die Werbung,,green
84,allgemein,,green
85,die Meinung,,green
86,der Meinung,,green
87,dafür sein unpraktisch,,green
88,unterschiedlich,,green
89,dagegen sein setzen,,green
90,versprechen,,green
91,der Artikel,,green
92,ein Artikel,,green
93,der Zeitung,,green
94,der Kinderwagen,,green
95,einen Parkplatz,,green
96,ein passendes Verb,,green
97,eine App,,green
98,den Bus,,green
99,dem Zug,,green
100,die Energie,,green
101,die Gitarre,,green
102,das Klavier,,green
103,das Instrument,,green
104,das Interesse,,green
105,klug,,green
106,die Bücherei,,green
107,der Arbeitgeber,,green
108,der Kursleiter,,green
109,-anstellen,,green
110,der,,green
111,die Lehrende,,green
112,die Vollzeit,,green
113,die Lernende,,green
114,die Sprechstunde,,green
115,das Sekretariat,,green
116,der Auftrag,,green
117,der PC,,green
118,die Autorin,,green
119,der Babysitter,,green
120,die Konferenz,,green
121,die Prüferin,,green
122,der Workshop,,green
123,schriftlich zusammenarbeiten,,green
124,die Schrift,,green
125,die Einführung,,green
126,die Rente,,green
127,der Stoff,,green
128,die Seniorin,,green
129,die Disziplin,,green
130,das Stipendium,,green
131,der Dolmetscher,,green
132,die Übersetzung,,green
133,der Ratschlag,,green
134,die Beratung,,green
135,die Förderung,,green
136,bieten,,green
137,geboten kommunizieren,,green
138,das Feedback,,green
139,die Kommunikation,,green
140,der Trick,,green
141,der Zeitplan,,green
142,die Aktion,,green
143,starten,,green
144,die Freiwillige,,green
145,sorgen,,green
146,der Service,,green
147,die Mitteilung,,green
148,existieren,,green
149,reparieren,,green
150,die Reparatur,,green
151,das Werkzeug,,green
152,wegwerfen,,green
153,beschweren,,green
154,fett,,green
155,eine Präsentation,,green
156,vortragen,,green
157,die Hälfte,,green
158,die Menge,,green
159,die Qualität,,green
160,der Katalog,,green
161,die Einleitung,,green
162,der Prospekt,,green
163,die Gliederung,,green
164,das Herz,,green
165,der Hauptteil,,green
166,die Figur,,green
167,der Inhalt,,green
168,das Mineralwasser,,green
169,der Punkt,,green
170,die Zitrone,,green
171,der Schluss,,green
172,die Portion,,green
173,flüssig tagsüber,,green
174,die Zuhörerin,,green
175,die Mitternacht,,green
176,der Wald,,green
177,die Angehörige,,green
178,-notwendig,,green
179,das Standesamt,,green
180,das Forum,,green
181,abonnieren übrigens,,green
182,die Mailbox,,green
183,einen Zeitplan,,green
184,den Stoff,,green
185,einen Ratschlag,,green
186,der Schläger,,green
187,die Sportart,,green
188,der Skistock,,green
189,das Paddel,,green
190,das Kajak,,green
191,das Surfbrett,,green
192,das Kitesurfen,,green
193,die Taucherbrille,,red
194,surfen,,green
195,langlaufen,,green
196,der Sportverein,,green
197,die Mannschaft,,green
198,das Tor,,green
199,der Fußballstar,,green
200,schießen,,green
201,der Fanartikel,,red
202,ein Tor,,green
203,werfen,,green
