sn,german,english
1,7 Lernwortschatz,
2,"das Parkhaus, er einer",
3,"Verkehr in der Stadt der Parkplatz, *e der K",
4,"das E-Bike, -s der TÜV (Sg.)",
5,telef,
6,ab|stellen versichert,
7,erreic,
8,"die Fahrt, -en die Versicherung, -en",
9,löser,
10,regis,
11,flexibel,
12,im Zug die P,
13,"die Linie, -en die Zugfahrt, -en",
14,"der Radfahrer, -",
15,"das Bordbistro, -s von U",
16,"der Radweg, e",
17,"das Kinderabteil, -e die Ex",
18,"die Seilbahn, -en",
19,"die Monatskarte, -en das Pr",
20,"Verkehrsprobleme die Platzreservierung, -en etwa (",
21,das Chaos (Sg.) pendeln die Ur,
22,"der Stau, -s (im Stau stehen). brauchen (Wie lange zeiger",
23,die Luft (Sg.) brauchst du zur Arbeit?),
24,zeigen,
25,"in Zukunft weiter|fahren, er fährt",
26,"weiter, ist weitergefahren die Me reduzieren",
27,"Mensch, wann geht es die Me umweltfreundlich",
28,weiter? der Me,
29,"die Großstadt, e Du has",
30,"die Innenstadt, e rund ums Flugzeug gegen",
31,"die Kombination, -en Autos il",
32,"ab|fliegen, er fliegt ab,",
33,"die Konsequenz, -en ist abgeflogen dafür st",
34,"das Konzept, -e der Abflug, ""e dagege",
35,buchen Es geht rund ums Auto,
36,"das Fahrzeug, -e landen andere",
37,"das Kfz, -s / das der Artik",
38,"Kraftfahrzeug, e einen Weg beschreiben der Zeitı",
39,"der Pkw, -s die Beschreibung, -en d. h. (da:",
40,"das Kennzeichen, - an ... vorbei (+ D.) der Kind",
41,"der Motor, -en gegenüber von (+D.)",
42,"der Reifen, - dorthin Wichtig",
43,"die Panne, -n die Richtung, -en",
44,bremsen,
45,vorwärts,
46,"die Garage, -n",
47,"das Navi, -s rückwärts",
48,das Benzin (Sg.) Geh immer geradeaus. Welche Vi,
49,"der Diesel (Sg.) vorbeilgehen, er geht",
50,"tanken vorbei, ist vorbeigegangen Ergänzen",
51,"die Tankstelle, -n die Kreuzung, en 1. den Bu",
52,"parken die Ampel, -n 2. mit den",
53,"halten, er hält, hat gehalten",
54,88 (Lukas hält an der Ampel.) achtundachtzig,
55,Lernwortschatz,
56,einen Service nutzen,
57,"die Mama, -s",
58,"der Kundenservice, -s die Stadtbesichtigung, -en",
59,telefonisch,
60,"der Konzertsaal, -säle",
61,erreichen klatschen,
62,lösen (ein Problem lösen),
63,"das Gewitter, -",
64,registrieren (sich),
65,"die Kaution, -en",
66,"die PIN, - S ob (Ich möchte gern wissen,",
67,ob der Zug pünktlich ist.),
68,von Untersuchungen berichten Ganz schön schnell!,
69,"die Expertin, -nen schon mal",
70,"das Prozent, -e die SMS, -",
71,"etwa (etwa ein Drittel) der Tarif, -e",
72,"die Untersuchung, -en die Werbung, -en",
73,zeigen (Untersuchungen sogar,
74,"zeigen, dass ...) elektrisch",
75,allgemein,
76,die Meinung sagen ewig,
77,"die Meinung, -en (Ich bin",
78,"der Meinung, dass ...) nervig",
79,Du hast recht. nötig sinnvoll,
80,gegen (+A.) (Ich bin gegen,
81,Autos im Stadtzentrum.) ungeduldig,
82,dafür sein unpraktisch,
83,unterschiedlich,
84,dagegen sein setzen (sich),
85,Es geht auch anders. überlegen (sich),
86,"versprechen, er verspricht,",
87,andere wichtige Wörter und Wendungen hat versprochen,
88,"der Artikel, - (ein Artikel in vorhaben, er hat vor,",
89,der Zeitung) hat vorgehabt,
90,d. h. (das heißt) zusammen|fassen,
91,"der Kinderwagen, -",
92,Wichtig für mich:,
93,Welche Verkehrsmittel gibt es in Ihrer Stadt? Notieren Sie.,
94,5. einen Parkplatz,
95,Ergänzen Sie ein passendes Verb. 3. zu Fuß 6. eine App,
96,1. den Bus 4. im Stau neunundachtzig 89,
97,2. mit dem Zug,
98,8 Lernwortschatz,
99,"die Energie, -n",
100,Lernen lassen (Lass offene Zeiten,
101,"die Gitarre, -n in deinem Zeitplan!)",
102,"das Klavier, -e unternehmen, er unter-",
103,"das Instrument, -e (ein nimmt, hat unternommen",
104,"Instrument spielen) verschieben, er verschiebt,",
105,"das Interesse, -n hat verschoben",
106,klug,
107,intelligent Berufsalltag,
108,"die Bücherei, -en der Arbeitgeber, -",
109,"der Kursleiter, - an|stellen",
110,"der/die Lehrende, -n die Vollzeit (Sg.) (Ich bin in",
111,"der/die Lernende, -n Vollzeit angestellt.)",
112,"die Sprechstunde, -n freiberuflich",
113,"das Sekretariat, -e stundenweise",
114,"erfahren der Auftrag, e",
115,"neugierig der PC, -s",
116,"kompliziert die Autorin, -nen",
117,"hart der Babysitter, -",
118,kapieren ausländisch (ausländische,
119,Partner),
120,"Prüfungen die Konferenz, -en",
121,"die Prüferin, -nen",
122,"mündlich der Workshop, -s",
123,schriftlich zusammenarbeiten,
124,"die Schrift, -en pensioniert",
125,"die Einführung, -en die Rente, -n",
126,"der Stoff, -e die Seniorin, -nen",
127,die Disziplin (Sg.) dolmetschen,
128,"das Stipendium, der Dolmetscher, -",
129,Stipendien übersetzen,
130,"Ratschläge geben die Übersetzung, -en",
131,"der Ratschlag, e begleiten (Ich begleite",
