sn,german,english
1,das Parkhaus,
2,der Stadt,
3,der Parkplatz,
4,*e der K,
5,das E-Bike,
6,der TÜV,
7,telef,
8,abstellen versichert,
9,erreic,
10,die Fahrt,
11,die Versicherung,
12,löser,
13,regis,
14,flexibel,
15,im Zug die P,
16,die Linie,
17,die Zugfahrt,
18,der Radfahrer,
19,das Bordbistro,
20,der Radweg,
21,das Kinderabteil,
22,die Ex,
23,die Seilbahn,
24,die Monatskarte,
25,das Pr,
26,die Platzreservierung,
27,das Chaos,
28,die Ur,
29,der Stau,
30,die Luft,
31,zeigen,
32,in Zukunft weiterfahren,
33,weiter,
34,die Me,
35,die Me,
36,der Me,
37,die Großstadt,
38,e Du has,
39,die Innenstadt,
40,e rund ums Flugzeug gegen,
41,die Kombination,
42,abfliegen,
43,die Konsequenz,
44,das Konzept,
45,der Abflug,
46,e dagege,
47,buchen Es geht rund ums Auto,
48,das Fahrzeug,
49,das Kfz,
50,das der Artik,
51,einen Weg,
52,der Zeiti,
53,der Pkw,
54,die Beschreibung,
55,das Kennzeichen,
56,der Kind,
57,der Motor,
58,der Reifen,
59,-dorthin Wichtig,
60,die Panne,
61,die Richtung,
62,bremsen,
63,vorwärts,
64,die Garage,
65,das Navi,
66,das Benzin,
67,der Diesel,
68,tanken vorbei,
69,die Tankstelle,
70,die Kreuzung,
71,den Bu,
72,die Ampel,
73,halten,
74,einen Service,
75,die Mama,
76,der Kundenservice,
77,die Stadtbesichtigung,
78,telefonisch,
79,der Konzertsaal,
80,erreichen klatschen,
81,lösen,
82,das Gewitter,
83,registrieren,
84,die Kaution,
85,die PIN,
86,-S ob (Ich möchte gern wissen,
87,der Zug,
88,von Untersuchungen berichten Ganz schön schnell,
89,die Expertin,
90,das Prozent,
91,die SMS,
92,der Tarif,
93,die Untersuchung,
94,die Werbung,
95,zeigen (Untersuchungen sogar,
96,zeigen,
97,allgemein,
98,die Meinung,
99,die Meinung,
100,der Meinung,
101,Du hast recht. nötig sinnvoll,
102,gegen (Ich bin gegen,
103,Autos im Stadtzentrum.) ungeduldig,
104,dafür sein unpraktisch,
105,unterschiedlich,
106,dagegen sein setzen,
107,Es geht auch anders. überlegen,
108,versprechen,
109,der Artikel,
110,ein Artikel,
111,der Zeitung,
112,d. h. zusammenfassen,
113,der Kinderwagen,
114,Wichtig für mich,
115,einen Parkplatz,
116,ein passendes Verb,
117,eine App,
118,den Bus,
119,dem Zug,
120,die Energie,
121,Lernen lassen (Lass offene Zeiten,
122,die Gitarre,
123,das Klavier,
124,das Instrument,
125,Instrument spielen) verschieben,
126,das Interesse,
127,klug,
128,intelligent Berufsalltag,
129,die Bücherei,
130,der Arbeitgeber,
131,der Kursleiter,
132,-anstellen,
133,der,
134,die Lehrende,
135,die Vollzeit,
136,der,
137,die Lernende,
138,die Sprechstunde,
139,das Sekretariat,
140,der Auftrag,
141,der PC,
142,die Autorin,
143,der Babysitter,
144,kapieren ausländisch (ausländische,
145,die Konferenz,
146,die Prüferin,
147,der Workshop,
148,schriftlich zusammenarbeiten,
149,die Schrift,
150,die Einführung,
151,die Rente,
152,der Stoff,
153,die Seniorin,
154,die Disziplin,
155,das Stipendium,
156,der Dolmetscher,
157,Stipendien übersetzen,
158,die Übersetzung,
159,der Ratschlag,
160,e begleiten (Ich begleite,
161,die Beratung,
162,die Förderung,
163,bieten,
164,geboten kommunizieren,
165,das Feedback,
166,die Kommunikation,
167,der Trick,
168,der Zeitplan,
169,e anderen helfen,
170,die Aktion,
171,starten,
172,die Freiwillige,
173,sorgen,
174,der Service,
175,die Mitteilung,
176,existieren,
177,reparieren,
178,die Reparatur,
179,das Werkzeug,
180,wegwerfen,
181,beschweren,
182,gebraucht (Ich kaufe oft putzen,
183,gebrauchte Sachen.) spülen,
184,voneinander (Wir haben,
185,viel voneinander gelernt.) tief,
186,fett,
187,eine Präsentation,
188,eine Präsentation,
189,vortragen,
190,die Hälfte,
191,die Menge,
192,die Qualität,
193,der Katalog,
194,die Einleitung,
195,der Prospekt,
196,die Gliederung,
197,das Herz,
198,der Hauptteil,
199,die Figur,
200,der Inhalt,
201,das Mineralwasser,
202,der Punkt,
203,die Zitrone,
204,der Schluss,
205,die Portion,
206,flüssig tagsüber,
207,die Zuhörerin,
208,die Mitternacht,
209,der Wald,
210,der,
211,die Angehörige,
212,-notwendig,
213,das Standesamt,
214,das Forum,
215,Foren sowieso,
216,abonnieren übrigens,
217,die Mailbox,
218,Wichtig für mich,
219,Ergänzen Sie passende Verben,
220,einen Zeitplan,
221,den Stoff,
222,eine Präsentation,
223,einen Ratschlag,
224,der Schläger,
225,die Sportart,
226,der Skistock,
227,das Paddel,
228,das Kajak,
229,das Surfbrett,
230,das Kitesurfen,
231,die Taucherbrille,
232,surfen,
233,tauchen Vereine und Fans,
234,langlaufen,
235,der Sportverein,
236,die Mannschaft,
237,das Tor,
238,der Fußballstar,
239,schießen,
240,der Fanartikel,
241,-(Mein Sohn,
242,ein Tor,
243,schießen) seinem Lieblingsverein.),
244,werfen,
245,den Ball,
246,mir!) benehmen,
247,das Rad,
248,die Radtour,
249,das Vorbild,
250,reiten,
251,Yoga machen großartig,
252,der Kletterer,
253,-genial,
254,die Kletterin,
255,die Wanderung,
256,der Wahnsinn,
257,die Strecke,
258,die Kondition,
259,muss mehr Sport machen,
260,Das war wahnsinnig gut,
261,die Hoffnung,
262,bestimmt (Das nächste Mal,
263,die Gesundheit,
264,der Erfolg,
265,Sport kann ich mich gut,
266,die Enttäuschung,
267,der Wettbewerb,
268,verloren (Wir haben das,
269,Sportgeräte Spiel verloren.),
270,der Fußballschuh,
271,die Katastrophe,
272,der Klettergurt,
273,der Helm,
274,die Matte,
275,sollen,
276,das Mountainbike,
277,Wir könnten,
278,einverstanden sein,
279,stark (Heute regnet es,
280,passen (So machen wir es,
281,unterwegs in D-A-CH,
282,die Anreise,
283,der Einwohner,
284,-außer,
285,die Einwohnerin,
286,Sohn entfernt (Salzburg ist nur,
287,ausgefallen (Das Spiel fällt,
288,kulturell (Das kulturelle deshalb,
289,Angebot ist grois.) trotzdem,
290,an.). faszinierend basteln,
291,das Gasthaus,
292,die Kette,
293,das Material,
294,das Gebiet,
295,die Umgebung,
296,der Nationalpark,
297,das Tal,
298,der Staat,
299,die Höhle,
300,der Kanton,
301,der Führer,
302,der Cousin,
303,einem Führer,
304,die die Cousine,
305,die Sendung,
306,die Führerin,
307,eine Antwort,
308,die Temperatur,
309,der Hinweis,
310,Temperatur liegt unter null quer,
311,Grad.) übermorgen,
312,der Nebel,
313,-neulich,
314,Wichtig für mich,
